generation,s0d0,s0d1,s0d2,s0d3,s1d0,s1d1,s1d2,s1d3,s2d0,s2d1,s2d2,s2d3,s3d0,s3d1,s3d2,s3d3,s4d0,s4d1,s4d2,s4d3,s5d0,s5d1,s5d2,s5d3,jsd_sym0,jsd_sym1,jsd_sym2,jsd_sym3,jsd_sym4,jsd_sym5,trajectory_jsd,contrast_01,contrast_02,contrast_03,contrast_04,contrast_05,contrast_12,contrast_13,contrast_14,contrast_15,contrast_23,contrast_24,contrast_25,contrast_34,contrast_35,contrast_45
130,25096,0,0,0,38050,0,0,0,51195,0,0,0,33175,0,0,0,20259,0,0,0,29179,0,0,0,0.008140,0.008142,0.008238,0.012640,0.010414,0.006793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
140,22470,0,0,0,49672,0,0,0,63239,0,0,0,31494,0,0,0,22687,0,0,0,25908,0,0,0,0.013551,0.007037,0.008949,0.009009,0.014545,0.006436,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
150,20982,0,0,0,29545,0,0,0,39824,0,0,0,29738,0,0,0,22695,0,0,0,26567,0,0,0,0.005913,0.004788,0.005038,0.003596,0.005842,0.004857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
160,21012,0,0,0,32101,0,0,0,41150,0,0,0,26654,0,0,0,20673,0,0,0,25162,0,0,0,0.004737,0.003141,0.005614,0.005884,0.011101,0.003828,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
170,23128,0,0,0,32770,0,0,0,54290,0,0,0,27383,0,0,0,23589,0,0,0,23134,0,0,0,0.018703,0.018237,0.016648,0.016538,0.022363,0.012574,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
180,24783,0,0,0,45027,0,0,0,61063,0,0,0,28510,0,0,0,23550,0,0,0,26122,0,0,0,0.008459,0.016657,0.014242,0.012331,0.007747,0.007918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
190,24337,0,0,0,29376,0,0,0,52029,0,0,0,31064,0,0,0,22664,0,0,0,26401,0,0,0,0.002637,0.006967,0.002212,0.006639,0.003975,0.005554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
200,21045,0,0,0,29226,0,0,0,48481,0,0,0,27307,0,0,0,21046,0,0,0,23737,0,0,0,0.017610,0.022464,0.022225,0.029575,0.030718,0.028001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210,33949,0,0,0,44063,0,0,0,67382,0,0,0,31164,0,0,0,30019,0,0,0,27080,0,0,0,0.009895,0.013455,0.009538,0.006516,0.009952,0.006408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
220,29212,0,0,0,48668,0,0,0,67370,0,0,0,29118,0,0,0,25221,0,0,0,23634,0,0,0,0.008987,0.010683,0.007556,0.009360,0.013315,0.009104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
