generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths,food_mi,poison_eaten,energy_delta_mi
66400,52646.7148,784100.0625,225276,0.182219,0.000000,0.025811,0.007780,0.136785,-0.605534,0.000000,0.184789,0.140657,0.016007,-0.103284,12.5,7,18,5.6,2,11,5128,1.744229,4457,0.000754,0,0.000320
66410,26222.9941,176575.7031,194065,0.002263,0.000000,0.583058,0.004263,-0.966513,-0.815726,0.000000,0.519943,0.097868,0.000000,0.000000,12.5,7,18,5.6,2,10,5774,1.724998,3346,0.001877,0,0.000636
66420,68731.4062,891600.0625,256695,0.113653,0.000000,0.026247,0.006311,0.261796,-0.600184,0.000000,0.360564,0.117098,0.041780,-0.115447,12.4,7,18,5.6,2,10,4473,1.736257,3491,0.001062,0,0.000358
66430,70770.7969,929200.0000,253600,0.279140,0.000000,0.037439,0.013598,0.219860,-0.591396,0.000000,0.267009,0.086258,0.060124,-0.192213,12.5,8,18,5.6,2,11,4484,1.737865,3374,0.001205,0,0.000867
66440,25443.0039,533700.0000,163221,0.000000,0.000000,0.000000,0.004753,0.107497,-0.577827,0.000000,0.038214,0.115939,0.000000,0.000000,12.5,8,18,5.5,2,10,6326,1.739906,3294,0.003368,0,0.003144
66450,35833.7266,568650.0000,211262,0.001337,0.000000,0.050597,0.012048,0.289746,-0.746783,0.000000,0.435934,0.091598,0.000000,0.000000,12.4,7,18,5.6,2,10,5224,1.747526,3433,0.001264,0,0.002011
66460,56158.9219,694150.0000,269874,0.019957,0.000000,0.020627,0.003378,0.274456,-0.670406,0.000000,0.235016,0.078243,0.033744,-0.094019,12.5,6,18,5.5,2,11,4467,1.733740,2525,0.000862,0,0.000227
66470,47917.1016,691550.0000,231447,0.110163,0.000000,0.017808,0.003893,0.227998,-0.613499,0.000000,0.366232,0.052087,0.036759,-0.134739,12.5,7,18,5.5,2,11,4866,1.733347,3451,0.001472,0,0.000803
66480,70986.4531,855550.0000,275450,0.089167,0.000000,0.014715,0.006729,0.239729,-0.685324,0.000000,0.392971,0.100192,0.028462,0.072503,12.5,7,18,5.6,2,11,4117,1.730354,2725,0.000701,0,0.000290
66490,23675.3340,447300.0312,180657,0.002535,0.000000,0.057150,0.005364,0.221826,-0.688646,0.000000,0.126435,0.089112,0.000000,0.000000,12.5,7,18,5.6,2,11,6131,1.743733,2504,0.001012,0,0.001119
